"Sr No","Street Address","City","State","Postal Code","Country","GLM API ID","Network","AddressStatus","Correct GLM Stree Adress"
"","340 N 3RD ST","PHOENIX","AZ","85004","","PL0000091297","On-Net","",""
"","3400 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000678279","On-Net","",""
"","3475 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0027214600","Off-Net","",""
"","350 S GRAND AVE","LOS ANGELES","CA","90071","","PL0000034898","On-Net","",""
"","350 SANSOME STREET","SAN FRANCISCO","CA","94104","","PL0000104414","On-Net","",""
"","3555 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000093857","On-Net","",""
"","3570 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000091190","On-Net","",""
"","3637 PEACHTREE RD NE","ATLANTA","GA","30319","","PL0000855837","On-Net","",""
"","3655 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000093850","On-Net","",""
"","3667 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000096635","On-Net","",""
"","369 PINE ST","SAN FRANCISCO","CA","94104","","PL0000184998","On-Net","",""
"","3700 W FLAMINGO ROAD","LAS VEGAS","NV","89103","","PL0000036901","On-Net","",""
"","3706 DIANN MARIE ROAD","LOUISVILLE","KY","40241","","PL0000286845","On-Net","",""
"","3708 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000082557","On-Net","",""
"","3799 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000629954","On-Net","",""
"","3900 FOUNTAIN SQUARE PL","WAUKEGAN","IL","60085","","PL0000958889","On-Net","",""
"","3911 KOVAL LN","LAS VEGAS","NV","89109","","PL0025014966","On-Net","",""
"","3911 WARDS RD","LYNCHBURG","VA","24502","","PL0000956983","On-Net","",""
"","3915 PELHAM RD","GREENVILLE","SC","29615","","PL0000581820","On-Net","",""
"","4 EMBARCADERO CENTER","SAN FRANCISCO","CA","94111","","PL0000019026","On-Net","",""
"","400 HOWARD ST","SAN FRANCISCO","CA","94105","","PL0000062642","On-Net","",""
"","401 CONSTANT FRIENDSHIP BLVD","ABINGDON","MD","21009","","PL0000233451","On-Net","",""
"","409 3RD ST SW","WASHINGTON","DC","20024","","PL0000111036","On-Net","",""
"","4300 KITTREDGE STREET","DENVER","CO","80239","","PL0000539419","On-Net","",""
"","450 LEXINGTON AVE","NEW YORK","NY","10017","","PL0000669768","On-Net","",""
"","4516 KENNY RD","COLUMBUS","OH","43220","","PL0000003507","On-Net","",""
"","4810 LAPALCO BLVD","MARRERO","LA","70072","","PL0000496028","On-Net","",""
"","4895 PEACHTREE INDUSTRIAL BLVD","NORCROSS","GA","30092","","PL0000922018","On-Net","",""
"","4900 GARTH RD","BAYTOWN","TX","77521","","PL0001058010","On-Net","",""
"","5110 BUFFALO SPEEDWAY","HOUSTON","TX","77005","","PL0000274407","On-Net","",""
"","55 E MONROE ST","CHICAGO","IL","60603","","PL0000097170","On-Net","",""
"","5500 GREENVILLE AVE","DALLAS","TX","75206","","PL0000028716","Off-Net","",""
"","5556 SUNSET BLVD","LEXINGTON","SC","29072","","PL0001018547","On-Net","",""
"","5601 BRODIE LN","Sunset Valley","TX","78745","","PL0000072168","On-Net","",""
"","601 LOYOLA AVE","NEW ORLEANS","LA","70113","","PL0000103857","On-Net","",""
"","650 MASSACHUSETTS AVE NW","WASHINGTON","DC","20001","","PL0000084600","On-Net","",""
"","6677 SEA HARBOR DR","ORLANDO","FL","32821","","PL0000016817","On-Net","",""
"","6901 ROCKSIDE RD","INDEPENDENCE","OH","44131","","PL0000180679","On-Net","",""
"","71 CLINTON RD","GARDEN CITY","NY","11530","","PL0000795365","On-Net","",""
"","7153 S. JOHN YOUNG PARKWAY","ORLANDO","FL","32809","","PL0002477281","On-Net","",""
"","7200 S ALTON WAY","CENTENNIAL","CO","80112","","PL0000024830","On-Net","",""
"","75 BROAD STREET","NEW YORK","NY","10004","","PL0000013843","On-Net","",""
"","7730 SAWMILL RD","DUBLIN","OH","43016","","PL0003512499","On-Net","",""
"","7900 LEGACY DRIVE","PLANO","TX","75024","","PL0001153753","On-Net","",""
"","7980 ARCO CORPORATE DR","RALEIGH","NC","27617","","PL0000058749","On-Net","",""
"","80 S 8TH ST","MINNEAPOLIS","MN","55402","","PL0000012585","On-Net","",""
"","800 WILSHIRE BLVD","LOS ANGELES","CA","90017","","PL0000093524","On-Net","",""
"","801 LOUISIANA ST","HOUSTON","TX","77002","","PL0000010108","On-Net","",""
"","801 VOLVO PKWY","CHESAPEAKE","VA","23320","","PL0000147408","On-Net","",""
"","8551 N BOARDWALK AVE","KANSAS CITY","MO","64154","","PL0001569971","On-Net","",""
"","8659 COLUMBUS PIKE","LEWIS CENTER","OH","43035","","PL0001559023","On-Net","",""
"","899 BLANDING BLVD","ORANGE PARK","FL","32065","","PL0000271596","On-Net","",""
"","9450 N MERIDIAN ST","INDIANAPOLIS","IN","46260","","PL0000093028","On-Net","",""
"","9800 INTERNATIONAL DR","ORLANDO","FL","32819","","PL0000017281","On-Net","",""
"","141 WASHINGTON AVENUE EXT","ALBANY","NY","12205","","PL0000560916","On-Net","",""
"","2903 SPRANKLE","MEMPHIS","TN","38118","","PL0000023203","On-Net","",""
"","4501 FAIRFAX DR","ARLINGTON","VA","22203","","PL0000058546","On-Net","",""
"","10904 MEMORIAL HERMANN DR","PEARLAND","TX","77584","","PL0000394595","Off-Net","",""
"","3000 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000758558","On-Net","",""
"","3600 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000601675","On-Net","",""
"","3900 LAS VEGAS BLVD S","LAS VEGAS","NV","89119","","PL0000045276","On-Net","",""
"","101 S SHACKLEFORD RD","LITTLE ROCK","AR","72211","","PL0001082614","Off-Net","",""
"","1100 N ALAFAYA TRAIL","ORLANDO","FL","32828","","PL0004149895","Off-Net","",""
"","2003 FRONTIS PLAZA BLVD","WINSTON-SALEM","NC","27103","","PL0000899529","Off-Net","",""
"","3355 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000191957","On-Net","",""
"","1400 SW 5TH AVE","PORTLAND","OR","97201","","PL0000109337","On-Net","",""
"","1900 N ROAN STREET","JOHNSON CITY","TN","37601","","PL0001253645","Off-Net","",""
"","3770 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000632869","On-Net","",""
"","1703 POST OAK BLVD","HOUSTON","TX","77056","","PL0000718062","Off-Net","",""
"","1210 S INTERNATIONAL PKWY","LAKE MARY","FL","32746","","PL0000221029","Off-Net","",""
"","3600 E UNIVERSITY DR","PHOENIX","AZ","85034","","PL0037233615","On-Net","",""
"","5000 W CHANDLER BLVD","CHANDLER","AZ","85226","","PL0000069752","On-Net","",""
"","2200 SOUTHWEST FWY","HOUSTON","TX","77098","","PL0000028703","Off-Net","",""
"","18111 DALLAS PKWY","DALLAS","TX","75287","","PL0000764214","Off-Net","",""
"","2131 E CAMELBACK RD","PHOENIX","AZ","85016","","PL0001283708","On-Net","",""
"","785 GREENS PKWY","HOUSTON","TX","77067","","PL0000084963","On-Net","",""
"","1415 E RENNER RD","RICHARDSON","TX","75082","","PL0002492892","Off-Net","",""
"","200 WEST 136TH AVE","WESTMINSTER","CO","80234","","PL0001579171","On-Net","",""
"","5410 PAGE RD","DURHAM","NC","27703","","PL0003542378","Off-Net","",""
"","751 NE COLUMBIA BLVD","PORTLAND","OR","97211","","PL0033287668","On-Net","",""
"","747 3RD AVE","NEW YORK","NY","10017","","PL0000016208","On-Net","",""
"","9311 SAN PEDRO","SAN ANTONIO","TX","78216","","PL0000019012","On-Net","",""
"","393 W SHAW AVE","CLOVIS","CA","93612","","PL0000640957","On-Net","",""
"","2535 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0000829518","On-Net","",""
"","2777 LAS VEGAS BLVD S","LAS VEGAS","NV","89109","","PL0012001895","On-Net","",""
"","150 S STATE ROAD 434","ALTAMONTE SPRINGS","FL","32714","","PL0001295899","On-Net","",""
"","730 COLUMBIA ROAD","PLAINFIELD","IN","46168","","PL0001227011","On-Net","",""
"","3145 CROOKS RD","TROY","MI","48084","","PL0003542099","Off-Net","",""
"","4040 CENTRAL FLORIDA PKWY","ORLANDO","FL","32837","","PL0000198182","Off-Net","",""
"","5975 N FEDERAL HWY","FORT LAUDERDALE","FL","33308","","PL0000392228","Off-Net","",""
"","3 SALLY RIDE WAY","OAKLAND","CA","94621","","PL0000025494","On-Net","",""
"","532 GARDEN OF THE GODS RD","COLORADO SPRINGS","CO","80907","","PL0008282929","On-Net","",""
"","315 W MARKET ST","LOUISVILLE","KY","40202","","PL0000278245","On-Net","",""
"","4301 ATLANTIC AVENUE","RALEIGH","NC","27604","","PL0000703548","Off-Net","",""
"","1701 S FEDERAL HWY","BOCA RATON","FL","33432","","PL0003852157","Off-Net","",""
"","400 SOUTH COLLIER BLVD","MARCO ISLAND","FL","34145","","PL0000767905","On-Net","",""
"","1400 6TH AVE","SEATTLE","WA","98101","","PL0000574928","On-Net","",""
"","5264 RED BUG LAKE RD","WINTER SPRINGS","FL","32708","","PL0003542310","On-Net","",""
"","611 COMMERCE STREET","NASHVILLE","TN","37203","","PL0000060890","On-Net","",""
"","555 17TH ST","DENVER","CO","80202","","PL0000030074","On-Net","",""
"","855 M ST","FRESNO","CA","93721","","PL0000031792","On-Net","",""
"","312 E WISCONSIN AVENUE","MILWAUKEE","WI","53202","","PL0000011205","On-Net","",""
"","106 HILL AVENUE","FORT WALTON BEACH","FL","32548","","PL0001082605","On-Net","",""
"","114 W FRANKLIN ST","CHAPEL HILL","NC","27516","","PL0003854259","Off-Net","",""
"","13630 EAST FWY","HOUSTON","TX","77015","","PL0004299691","Off-Net","",""
"","1201 K STREET","SACRAMENTO","CA","95814","","PL0000098214","On-Net","",""
"","12181 S APOPKA VINELAND RD","ORLANDO","FL","32836","","PL0003542301","On-Net","",""
"","7208 W LAKE MEAD BLVD","LAS VEGAS","NV","89128","","PL0000862706","On-Net","",""
"","3950 LAS VEGAS BLVD S","LAS VEGAS","NV","89119","","PL0000886813","On-Net","",""
"","23870 E SMOKY HILL ROAD","AURORA","CO","80016","","PL0011972365","On-Net","",""
"","7620 LAS VEGAS BLVD S","LAS VEGAS","NV","89123","","PL0001123076","On-Net","",""
"","11640 N DALE MABRY HWY","TAMPA","FL","33618","","PL0014013974","Off-Net","",""
"","3100 NW 35TH AVE RD","OCALA","FL","34475","","PL0003861391","On-Net","",""
"","6180 AIRPORT RD","COLORADO SPRINGS","CO","80916","","PL0025050229","On-Net","",""
"","17925 W BLUEMOUND RD","BROOKFIELD","WI","53045","","PL0000242545","Off-Net","",""
"","6447 NORTH CUTTER CIRCLE","PORTLAND","OR","97217","","PL0000713520","On-Net","","6447 N CUTTER CIR"
"","50 14TH STREET NW","SAINT PAUL","MN","55112","","PL0004742990","On-Net","",""
"","650 15TH ST","DENVER","CO","80202","","PL0000648805","On-Net","",""
"","24120 US HIGHWAY 19 N","CLEARWATER","FL","33763","","PL0000238368","Off-Net","",""
"","5903 NORTH W STREET","PENSACOLA","FL","32505","","PL0001083269","Off-Net","","5903 N W ST"
"","200 GOODMAN RD E","SOUTHAVEN","MS","38671","","PL0001637068","Off-Net","",""
"","1564 NORTH 4TH STREET","LAKEVIEW","OR","97630","","PL0013784675","On-Net","","1564 N 4TH ST"
"","2245 E MAIN STREET","PLAINFIELD","IN","46168","","PL0000063444","Off-Net","",""
"","2055 GATEWAY PLACE","SAN JOSE","CA","95110","","PL0000110056","On-Net","",""
"","17571 STATE HIGHWAY 249","HOUSTON","TX","77064","","PL0003541787","Off-Net","",""
"","6756 NE ALDERWOOD RD","PORTLAND","OR","97218","","PL0001083391","On-Net","",""
"","1700 S ORANGE BLOSSOM TRL","APOPKA","FL","32703","","PL0000327893","On-Net","",""
"","1120 AVE OF THE AMERICAS (6TH)","NEW YORK","NY","10036","","PL0000012383","On-Net","","1120 6TH AVE"
"","315 CHESTNUT ST","ST LOUIS","MO","63102","","PL0000823599","Off-Net","",""
"","4152 W SPRING CREEK PKWY","PLANO","TX","75024","","PL0001243041","Off-Net","",""
"","14505 NE FOURTH PLAIN BLVD","VANCOUVER","WA","98682","","PL0007900855","On-Net","",""
"","1001 E UNIVERSITY AVE","LAS CRUCES","NM","88001","","PL0001082559","On-Net","",""
"","16621 E. EUCLID AVE","SPOKANE VALLEY","WA","99216","","PL0035547476","On-Net","",""
"","226 E CAPITOL STREET","JACKSON","MS","39201","","PL0009286429","Off-Net","",""
"","10635 PENDLETON PIKE","INDIANAPOLIS","IN","46236","","PL0000225218","Off-Net","",""
"","13637 N TATUM BLVD","PHOENIX","AZ","85032","","PL0000552817","On-Net","",""
"","20930 N TATUM BLVD","PHOENIX","AZ","85050","","PL0000489404","On-Net","",""
"","2381 PALM BEACH LAKES BLVD","WEST PALM BEACH","FL","33409","","PL0000122012","Off-Net","",""
"","3841 GARMAN ROAD","GILLETTE","WY","82716","","PL0001084407","On-Net","",""
"","11435 E BRIARWOOD AVE","CENTENNIAL","CO","80112","","PL0001090873","On-Net","",""
"","1130 N GERMANTOWN PKWY","CORDOVA","TN","38016","","PL0003542214","Off-Net","",""
"","7 LONG LAKE ROAD","SAINT PAUL","MN","55115","","PL0001084047","On-Net","",""
"","1305 NORTH AIRPORT ROAD","CEDAR CITY","UT","84721","","PL0024953223","On-Net","","1305 N AIRPORT RD"
"","11255 REED HARTMAN HWY","BLUE ASH","OH","45241","","PL0001009140","Off-Net","",""
"","111 MARKET PLACE AVE","MOORESVILLE","NC","28117","","PL0000692400","Off-Net","",""
"","5353 N PORT WASHINGTON RD","MILWAUKEE","WI","53217","","PL0000242801","Off-Net","",""
"","101 37TH AVE SE","PUYALLUP","WA","98374","","PL0000871870","On-Net","",""
"","999 9th ST NW","WASHINGTON","DC","20001","","PL0000360470","On-Net","",""
"","430 E MAIN ST","SPARTANBURG","SC","29302","","PL0000438987","Off-Net","",""
"","5854 BARNES RD","COLORADO SPRINGS","CO","80922","","PL0003541719","On-Net","",""
"","8000 W INTERSTATE 10","SAN ANTONIO","TX","78230","","PL0000020634","On-Net","",""
"","14202 N SCOTTSDALE RD","SCOTTSDALE","AZ","85254","","PL0000071405","On-Net","",""
"","17025 N SCOTTSDALE RD","SCOTTSDALE","AZ","85255","","PL0000125112","On-Net","",""
"","740 N 114TH ST","OMAHA","NE","68154","","PL0038053675","On-Net","",""
"","3757 W MARKET ST","FAIRLAWN","OH","44333","","PL0003542153","Off-Net","",""
"","2300 COMMERCE CIRCLE","ALAMOSA","CO","81101","","PL0003541716","On-Net","",""
"","1111 MAIN ST","KANSAS CITY","MO","64105","","PL0000736970","On-Net","",""
"","240 N DENTON TAP RD","COPPELL","TX","75019","","PL0000296251","Off-Net","",""
"","801 S. 75TH AVE","PHOENIX","AZ","85043","","PL0001084410","On-Net","",""
"","10161 S PARKER RD","PARKER","CO","80134","","PL0001082639","On-Net","",""
"","15154 W CAMELBACK ROAD","LITCHFIELD PARK","AZ","85340","","PL0031787532","On-Net","",""
"","3401 COMMONWEALTH BOULEVARD","TALLAHASSEE","FL","32303","","PL0001083506","On-Net","",""
"","1619 ROBERT STREET S","WEST SAINT PAUL","MN","55118","","PL0003542019","On-Net","",""
"","25 N CASCADE AVE","COLORADO SPRINGS","CO","80903","","PL0000049064","On-Net","",""
"","2507 SOUTH 13TH STREET","NORFOLK","NE","68701","","PL0001083308","On-Net","","2507 S 13TH ST"
"","3269 W 86TH ST","INDIANAPOLIS","IN","46268","","PL0000258909","Off-Net","",""
"","100 WALL ST","NEW YORK","NY","10005","","PL0000016571","On-Net","",""
"","501 WESTLAKE PARK BLVD","HOUSTON","TX","77079","","PL0000008138","Off-Net","",""
"","700 SW 9TH ST","DES MOINES","IA","50309","","PL0001082953","On-Net","",""
"","8775 E ORCHARD RD","GREENWOOD VILLAGE","CO","80111","","PL0000454559","On-Net","",""
"","6000 E CAMELBACK ROAD","SCOTTSDALE","AZ","85251","","PL0000485902","On-Net","",""
"","7800 E HAMPDEN AVE","DENVER","CO","80231","","PL0000964420","On-Net","",""
"","2576 BRICE RD","REYNOLDSBURG","OH","43068","","PL0001021812","Off-Net","",""
"","1200 COOPER POINT ROAD SW","OLYMPIA","WA","98502","","PL0000170374","On-Net","",""
"","1171 W 120TH AVE","WESTMINSTER","CO","80234","","PL0001308144","On-Net","",""
"","8000 E BELLEVIEW AVE","GREENWOOD VILLAGE","CO","80111","","PL0035818270","Off-Net","",""
"","2900 SW BROOKSIDE DRIVE","GRIMES","IA","50111","","PL0007816297","On-Net","",""
"","2015 DEMING WAY","MIDDLETON","WI","53562","","PL0002467161","Off-Net","",""
"","924 FLORIDA CENTRAL PARKWAY","LONGWOOD","FL","32750","","PL0001083314","On-Net","",""
"","2226 EASTERN BLVD","MONTGOMERY","AL","36117","","PL0032605155","Off-Net","",""
"","500 12TH ST","OAKLAND","CA","94607","","PL0000029526","On-Net","",""
"","50 S CAPITOL AVE","INDIANAPOLIS","IN","46204","","PL0000011472","On-Net","",""
"","1000 FEDEX DR","MOON TWP","PA","15108","","PL0000038000","On-Net","",""
"","610 9TH ST","DURHAM","NC","27705","","PL0003706414","Off-Net","",""
"","4750 W SAHARA AVE","LAS VEGAS","NV","89102","","PL0000538548","On-Net","",""
"","10005 NW 41ST ST","DORAL","FL","33178","","PL0001082679","Off-Net","",""
"","5480 E BROADWAY BLVD","TUCSON","AZ","85711","","PL0000205063","On-Net","",""
"","6020 AIRPORT DRIVE","CHARLOTTE","NC","28208","","PL0035741293","Off-Net","",""
"","2616 BASELINE RD","BOULDER","CO","80305","","PL0003541733","On-Net","",""
"","47 E ROBINSON ST","ORLANDO","FL","32801","","PL0000244131","Off-Net","",""
"","1201 SW 13TH AVE","BATTLE GROUND","WA","98604","","PL0007865622","On-Net","",""
"","11621 S CLEVELAND AVE","FORT MYERS","FL","33907","","PL0001148070","On-Net","",""
"","1900 5TH AVE","SEATTLE","WA","98101","","PL0000059149","On-Net","",""
"","9077 POPLAR AVE","GERMANTOWN","TN","38138","","PL0000074524","Off-Net","",""
"","1230 N 12TH ST","GRAND JUNCTION","CO","81501","","PL0003541712","On-Net","",""
"","9516 W FLAMINGO RD","LAS VEGAS","NV","89147","","PL0000442070","On-Net","",""
"","5901 S STATE ST","MURRAY","UT","84107","","PL0003541679","On-Net","",""
"","5698 155 NORTH","HURRICANE","UT","84737","","PL0001084478","On-Net","",""
"","960 INDUSTRIAL WAY","LONGVIEW","WA","98632","","PL0001083177","On-Net","",""
"","8912 PINEVILLE MATTHEWS RD","CHARLOTTE","NC","28226","","PL0000905585","Off-Net","",""
"","1218 N MONROE ST","TALLAHASSEE","FL","32303","","PL0003542318","On-Net","",""
"","7166 N HIGH ST","WORTHINGTON","OH","43085","","PL0002928323","Off-Net","",""
"","5030 W PIKE PLAZA RD","INDIANAPOLIS","IN","46254","","PL0003542124","Off-Net","",""
"","651 SOUTH ALASKA STREET","SEATTLE","WA","98108","","PL0001082727","On-Net","","651 S ALASKA ST"
"","2712 HILLSBOROUGH ST","RALEIGH","NC","27607","","PL0000735017","Off-Net","",""
"","4610 NORTH LAMB BOULEVARD","LAS VEGAS","NV","89115","","PL0001083597","On-Net","","4610 N LAMB BLVD"
"","910 LENORA ST","SEATTLE","WA","98121","","PL0003541446","On-Net","",""
"","1060 S WATSON RD","BUCKEYE","AZ","85326","","PL0001001376","On-Net","",""
"","4701 KOVAL LANE","LAS VEGAS","NV","89109","","PL0000631922","On-Net","",""
"","7421 SW BARBUR BLVD","PORTLAND","OR","97219","","PL0001309573","On-Net","",""
"","14056 SOUTHWEST FWY","SUGAR LAND","TX","77478","","PL0003541778","Off-Net","",""
"","12501 METRO PARKWAY","FORT MYERS","FL","33966","","PL0001082934","On-Net","",""
"","6501 E 2ND ST","PRESCOTT VALLEY","AZ","86314","","PL0001083282","On-Net","",""
"","908 SPRINGFIELD COMMONS DR","RALEIGH","NC","27609","","PL0003542381","Off-Net","",""
"","3691 AIRPORT BLVD","MOBILE","AL","36608","","PL0001009609","Off-Net","",""
"","7801 WINCHESTER RD","MEMPHIS","TN","38125","","PL0003542203","Off-Net","",""
"","11425 S 72ND ST","PAPILLION","NE","68046","","PL0000544444","On-Net","",""
"","5550 E WOODMEN ROAD","COLORADO SPRINGS","CO","80920","","PL0000466427","On-Net","",""
"","4550 E BELL RD","PHOENIX","AZ","85032","","PL0060620075","On-Net","",""
"","2001 S. 48TH STREET","GRAND FORKS","ND","58201","","PL0007901456","On-Net","","2001 S 48TH ST"
"","332 PLANE STREET","GYPSUM","CO","81637","","PL0025229814","On-Net","",""
"","13605 MIDWAY RD","FARMERS BRANCH","TX","75244","","PL0001133944","Off-Net","",""
"","14113 TRINITY BLVD","FORT WORTH","TX","76155","","PL0000659774","Off-Net","",""
"","2510 E HARMONY RD","FORT COLLINS","CO","80528","","PL0000465330","On-Net","",""
"","5775 S EASTERN AVE","LAS VEGAS","NV","89119","","PL0000481588","On-Net","",""
"","2424 WILCREST DRIVE","HOUSTON","TX","77042","","PL0000007912","On-Net","",""
"","7601 PENN AVENUE SOUTH","RICHFIELD","MN","55423","","PL0000363709","On-Net","","7601 PENN AVE S"
"","1260 WALNUT STREET","ROSEBURG","OR","97470","","PL0001083339","On-Net","",""
"","200 VARICK ST","NEW YORK","NY","10014","","PL0000014185","On-Net","",""
